office_id,office_code,office_name,username,password
fffae751-bf53-48a0-a04d-72ab5b3a5a62,abhyankar_nagar_so,Abhyankar Nagar S.O,abh,abh123
0267e9a5-44ef-4514-a4bf-a035abd82934,ajni_so,Ajni S.O,ajn,ajn123
b6350f43-e20d-4242-b531-e7b73ee00336,ayodhya_nagar_so,Ayodhya Nagar S.O,ayo,ayo123
8ea4a6e5-a8b4-4c69-bd54-17a9a647e604,bagadganj_so,Bagadganj S.O,bag,bag123
574e8c3d-97d4-403a-9a82-0391726c95af,bahadura_so,Bahadura S.O,bah,bah123
4d7f477e-5110-4090-a30d-0fc64f0b8fc2,besa_road_so,BESA Road S.O,bes,bes123
41f68b3c-bce9-4aa0-84e4-ef2f5093c26a,bezonbagh_so,Bezonbagh S.O,bez,bez123
b7245af5-b173-4eaf-9404-8b07fca59ba9,bhilgaon_so,Bhilgaon SO,bhi,bhi123
83428e50-c600-46dc-8fe0-0c884de9285e,borgaon_road_so,Borgaon Road S.O,bor,bor123
81f2b48a-51d1-4b1b-b44d-6ccb0fbbaf0c,bureau_of_mines_so,Bureau Of Mines S.O,bur,bur123
a03885c5-3825-4109-94c4-538836ecdd75,crpf_nagpur_so,C.R.P.F. Nagpur S.O,crp,crp123
49b69256-42d7-4542-a5b5-ba2dc1e9dd82,coal_estate_so,Coal Estate S.O,coa,coa123
d217b95f-2dae-4614-ba85-4f8ece9626cc,congress_nagpur,Congress Nagar S.O Nagpur,con,con123
1e11e86c-9597-4c5c-a21c-a7dd687d0c0b,dabha_post_office,Dabha Post Office,dab,dab123
ea47b16f-64f4-4926-8317-e05d7c87882d,dighori_naka_so,Dighori Naka S.O,dig,dig123
bc950417-6ccc-4358-b00a-752e615d5bd1,drambedkar_marg_so,Dr.Ambedkar Marg S.O,dra,dra123
f1c2f8cb-53d6-48b2-9d4b-ce6ccda5bd44,friends_office,Friends Colony Post Office,fri,fri123
347853e8-5bd6-4e70-8cfc-f5b90abf9fe6,ganjipeth_so,Ganjipeth S.O,gan,gan123
11e42d14-2d95-4f54-b89a-0146705f54dd,giripeth_so,Giripeth S.O,gir,gir123
54f9c659-fd2b-4216-b2e9-e5c19db971db,gokulpeth_so,Gokulpeth S.O,gok,gok123
ae786469-43c2-4c22-966e-d769cac8e563,hanuman_nagar_so,Hanuman Nagar S.O,han,han123
4eb01238-9b7b-499c-9587-9bfcc6620203,jaitala_so,Jaitala S.O,jai,jai123
bcc931e2-9e4d-4142-88a2-ac4c88e0922d,jaripatka_so,Jaripatka S.O,jar,jar123
24570d41-f018-4c80-bb82-0b60202b70a9,kalmna_so,Kalmna Market Yard S.O,kal,kal123
70c59be1-b3ec-4424-9bc4-5e99c2ef8380,kasturchand_park_so,Kasturchand Park S.O,kas,kas123
aa5bb66d-c92d-4443-9ed1-7cd8b3935646,katolroad_so,Katolroad S.O,kat,kat123
ee5a34eb-c1e9-4008-b5ae-077b233592ac,khamla_so,Khamla S.O,kha,kha123
738cbde6-55ab-409c-835c-7239f569795f,khare_town_so,Khare Town S.O,kha2,kha2123
f96b1ea8-2b1a-47e4-8291-3f23c2a7cd9a,laxmi_nagpur,Laxmi Nagar S.O Nagpur,lax,lax123
529e978b-5547-48e1-8bb5-0180c3ac312b,mahal_so_nagpur,Mahal S.O Nagpur,mah,mah123
12ce9284-6c2a-4b76-8ed8-887839fe0937,mahatma_so,Mahatma Fule Bazar S.O,mah2,mah2123
